data_year,groupb_arrestee_id,arrestee_seq_num,arrest_date,arrest_type_id,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,age_range_low_num,age_range_high_num
2022,45208481,1,2022-01-30,1,90Z,38,35,M,20,20,R,,,
2022,45208462,1,2022-01-16,1,90J,67,64,F,10,20,R,,,
2022,45208459,1,2022-01-17,1,90J,41,38,F,20,20,N,,,
2022,45208433,1,2022-01-31,1,90Z,31,28,M,20,20,R,,,
2022,45208468,1,2022-01-18,1,90J,55,52,M,20,20,U,,,
2022,45208463,1,2022-01-24,1,90D,36,33,M,20,40,R,,,
2022,45208461,1,2022-01-25,1,90D,47,44,M,10,40,U,,,
2022,45208464,1,2022-01-16,1,90J,46,43,M,20,20,U,,,
2022,45208465,1,2022-01-25,1,90J,27,24,M,20,40,U,,,
2022,45208466,1,2022-01-14,1,90J,31,28,M,20,20,U,,,
2022,45208467,1,2022-01-17,1,90J,37,34,M,20,20,R,,,
2022,45208469,1,2022-01-12,1,90Z,29,26,M,20,20,U,,,
2022,45208470,1,2022-01-25,1,90J,34,31,M,10,10,U,,,
2022,45208473,1,2022-01-23,1,90D,37,34,M,10,10,N,,,
2022,45208475,1,2022-01-31,3,90Z,16,13,M,20,20,R,R,,
2022,45208476,1,2022-01-28,1,90J,32,29,M,20,20,U,,,
2022,45208477,1,2022-01-28,1,90J,51,48,M,20,20,U,,,
2022,45208478,1,2022-01-31,3,90Z,43,40,M,20,40,R,,,
2022,45208480,1,2022-01-28,1,90J,27,24,M,20,40,U,,,
2022,45208496,1,2022-01-31,1,90Z,53,50,M,20,20,U,,,
2022,45208482,1,2022-01-31,3,90Z,29,26,M,20,20,R,,,
2022,45208497,1,2022-01-31,3,90Z,31,28,M,20,20,R,,,
2022,45208483,1,2022-01-31,3,90Z,69,66,M,20,20,U,,,
2022,45208485,1,2022-01-29,1,90J,30,27,M,20,20,U,,,
2022,45208489,1,2022-01-20,1,90B,68,65,M,20,20,R,,,
2022,45208492,1,2022-01-25,1,90Z,39,36,F,20,40,R,,,
2022,45208494,1,2022-01-30,1,90J,28,25,M,20,20,U,,,
2022,45208495,1,2022-01-14,1,90J,35,32,M,20,20,R,,,
2022,45208500,1,2022-01-29,3,90Z,56,53,M,20,20,R,,,
2022,45208529,1,2022-01-30,1,90J,24,21,F,10,10,N,,,
2022,45208532,1,2022-01-30,1,90J,32,29,M,20,20,U,,,
2022,45326633,1,2022-01-05,1,90J,36,33,M,20,20,N,,,
2022,45326626,1,2022-01-16,1,90J,30,27,M,20,20,U,,,
2022,45326645,1,2022-01-16,1,90Z,24,21,M,20,20,U,,,
2022,45326646,1,2022-01-16,3,90Z,21,18,M,20,40,R,,,
2022,45326637,1,2022-01-14,3,90Z,24,21,M,20,20,R,,,
2022,45326629,1,2022-01-11,1,90J,61,58,M,20,40,R,,,
2022,45326630,1,2022-01-15,1,90J,61,58,M,20,20,R,,,
2022,45326628,1,2022-01-07,1,90J,28,25,M,20,20,U,,,
